song_name,song_lyric
くら寿司 ビッくらポン!,クラクラ来ちゃ～うくら寿司はテンテン天下の無添寿司家族で来ちゃ～うくら寿司は安心安全回転寿司楽しくて　美味しくてまたすぐ来たいのだクラクラ来ちゃ～うくら寿司はびっくり仰天ビッくらポン!クラクラ来ちゃ～うくら寿司はテンテン天下の無添寿司デートで来ちゃ～うくら寿司はスキなの頼むぞタッチパネル楽しくて　リーズナブルみんなが嬉しいねクラクラ来ちゃ～うくら寿司はびっくり仰天ビッくらポン!クラクラ来ちゃ～うくら寿司はテンテン天下の無添寿司家族で来ちゃ～うくら寿司は安心安全回転寿司楽しくて　美味しくてまたすぐ来たいのだクラクラ来ちゃ～うくら寿司はびっくり仰天ビッくらポン!
あっぱれ回転ずし!,のんびりなんかはやってられない父ちゃん準備急いでよ今更どなたにアピるのよ母ちゃんメイク急いでよ駐車場着いてもダッシュしなきゃナイスポジションをGETさそれでもやっぱり入口で少々待たねばだねお寿司がなぜ好きか大人にわかるかい?座りゃすぐ食べられて　すぐに満腹ぐ～ぐ～ぐ～ぐ～ぐ～ぐ～ぐ～ぐ～腹ペコペコでござるグルグルグルグルグルグルグルグル赤いのがやってくるあっぱれ回転ずしわびさびなんかは言ってられないタイム　イズ　青春いろいろな味試したい姉ちゃん半分こしよう10皿食べてもおいしいね父ちゃんすでにごきげんデザートはほらあれとこれ母ちゃんもまたごきげんお寿司がなぜ好きかみんなにわかるかい?家族が笑顔になってみんな幸せGOOD GOOD GOOD GOOD×2世界中で大人気グルグルグルグルグルグルグルグル平和が回ってくるあっぱれ回転ずしぐ～ぐ～ぐ～ぐ～ぐ～ぐ～ぐ～ぐ～腹ペコペコでござるグルグルグルグルグルグルグルグル赤いのがやってくるあっぱれ回転ずし　おかわりしようぜ!GOOD GOOD GOOD GOOD×2世界中がヘルシーグルグルグルグルグルグルグルグル幸せがやってくるあっぱれ回転ずしお腹いっぱいなった僕はなんだか眠くなったよ父ちゃんの腕　抱っこされて幸せのまま眠る
私の魅力,Ah　どんなに悔しくたってあいつなんて　忘れるよAh　根本明るいとこが私の魅力なんだよ明日は明日の風が吹く確かにそういうもんだそれでも人間ダラダラと落ちこんじゃうよね駅前で寄ったドーナツ屋改装してて休みせっかく貯めてたポイントは使えるでしょうね?ママに電話したこんな日に限って出ない寄り合いなの?くっちゃべってるだけじゃん!Ah　ようやく家に着いた一足早くにママも居たAh　なんだか泣けてきた文句言いながら抱きついたAh　やっぱりいつものママ口は悪いけど優しいのAh　なんだか照れくさくってこの場はお風呂に逃げよこんな日にかぎり真ん中の妹がお風呂してるどうせマンガとか持ち込んで浸ってるんでしょママとのやり取り聞こえてたみたいねなんなのそのにやけた笑みは!Ah　それでもなんでも知ってる妹には教えるわAh　確かにあんたの勘当たってたかもしれないねAh　どんなに悔しくたってあいつなんて 忘れるよAh　根本明るいとこが私の魅力なんだよAh　少しは声にだして泣いちゃったっていいでしょうSo　明日になったらByebyeいつもの私になるわ
LOVE2 パラダイス,ララララ LOVE LOVE パラダイス街を歩けば出会いがある楽しみで眠れぬ日OH YEAH　ただ悔しい日突然のドタキャンで暇つぶすDAYHAPPYでも　それが青春HAPPY HAPPY全部　自分の人生WOW WOW WOW WOW WOWどうせなら楽しもうよ!ララララ　LOVE LOVE パラダイス街を歩けば出会いがある「信じる」から始めようWOW WOW　YEAH YEAH離れているなら　OH NO　くっつけばいいじゃん心が通えば　大丈夫世界はLOVE & PEACE!ララララ LOVE LOVE パラダイスポジティブだからみんなが集い許し合うから友になるWOW WOW　YEAH YEAHララララ LOVE LOVE パラダイスララララ LOVE LOVE LOVE パラダイスWOW WOW WOW WOW WOW日本も街も我が家もWOW WOW　YEAH YEAHPEACE!初めてのデートの日OH YEAH　失恋の夜別れてた友達がまたくっついたHAPPYでも　それも青春HAPPY HAPPYピンチがチャンスの合図WOW WOW WOW WOW WOWみんな最初はビギナーさララララ LOVE LOVE パラダイス夢さえあればなんとかなる「認め合う」から始めようWOW WOW　YEAH YEAH家族なんだから　OH YES　絆　信じて小さな幸せ　集まれば世界はLOVE & PEACE!ララララ LOVE LOVE パラダイス元気は元気な人を呼ぶダイスキに敵はいないWOW WOW　YEAH YEAHララララ LOVE LOVE パラダイスララララ LOVE LOVE LOVE パラダイスWOW WOW WOW WOW WOW世界中も宇宙でもWOW WOW　YEAH YEAHPEACE!ララララ LOVE LOVE パラダイス元気は元気な人を呼ぶダイスキに敵はいないWOW WOW　YEAH YEAHララララ LOVE LOVE パラダイスララララ LOVE LOVE LOVE パラダイスWOW WOW WOW WOW WOW世界中も宇宙でもWOW WOW　YEAH YEAHPEACE!
ちょこっとLOVE,ほんのちょこっとなんだけど髪形を変えてみたほんのちょこっとなんだけどそこに気が付いてほしいぞ愛(いと)しの　マイ　ダーリンほんのちょこっとなんだけど勇気をふりしぼったほんのちょこっとなんだけど前に進んだ気がする愛(いと)しの　マイ ダーリンねぇねぇもっと楽しい事から始めませんか?ほらほら Good!ステキな恋愛いたしましょおやおやもっとシゲキの強いのお望みですか?そいつはこまった(ですね)恋という字を　辞書(じしょ)で引いたぞあなたの名前そこに　足しておいたぞ夢という字を　二人で書くぞ一人よりも　楽しいぞ。。。。。ほんのちょこっとなんだけどメールを送りますよほんのちょこっとなんだけど友情の証(あかし)ですよ愛(いと)しの　マイ　フレンドねぇねぇもっと簡単な言葉でOKですぞほらほらもっと素直な思いを伝えましょおやおやなんとシゲキ少ない方をお選びですか?謙虚(けんきょ)なあなたが(スキ)愛という字を　思い出す時家族の顔が先に　浮かんできたぞささやかだけど　先へ進むぞ愛(いと)しい人 All you need is LOVE。。。。。愛という字を　思い出す時家族の顔が先に　浮かんできたぞささやかだけど　先へ進むぞ愛(いと)しい人 All you need is LOVE愛(いと)しい人 All you need is LOVE愛(いと)しい人 All you need is LOVE。。。。。
同じ時給で働く友達の美人ママ,ああ　同じ人私の後から好きになったりしないでよAH　横入りああ　ライバルが最近　入ったクラスメイトのママなんて笑えないよ来たばかりは韓流スターにキャキャキャッキャキャッキャキャキャ言ってたじゃんそんな男前じゃなくて髪の毛も割りと癖っ毛な店長BUT　スキっと背が高く忙しそうに働く顔が　スキ雰囲気　スキ邪魔しないでねああ　ズルいよねうまく頼って店長じゃなくてもそれは聞けるじゃんああ　私がね先にここでは店長のことツバつけてたはずだよ恋愛とか　あこがれだし見てるだけで十分だったのに急にリアルな強敵じゃんさりげに肩なんかポ～ンとタッチしてNO　大人技使わないで!私だって少しは…お色気　NONNON胸だって　NONNONああ　嫌だよ完敗何よ!私はシフト入れたくても昼間は学校で来れないし。そのあいだにたっぷり店長とおしゃべりとかしてんじゃないの!!はぁぁ　こないだまではただなんとなく心の中で「あこがれ～」なんて思ってるだけで十分幸せだったのにぃいやぁ　誰かのモノになるのなんてありえない!急にリアルな強敵じゃんさりげに肩なんかポ～ンとタッチしてNO　大人技使わないで!私だって少しは…お色気　NONNON胸だって　NONNON逆転できるか
LOVE LIKE CRAZY(2007 G-Emotion II Ver.),抱きしめる手段は 好きにして愛告げる言葉は KISS にして絶え間ない努力は 影でしてつかの間の休息ですなんか 奪えない 愛だけどなんか 憎めない 奴だけど終わらない仕事なら すぐに来てくだらないジョークでも 口にして「邪魔しない約束」の 口付けてYOU LOVE ME LIKE CRAZY LIKE THISもっと 今だけ 抱きしめてもっと 今だけ TAKE ON ME人は皆 優しさに 慣れていく失敗など 恐れていちゃ つまんない桜咲く季節に KISS LIKE CRAZY紫外線強くて KISS LIKE CRAZYクリスマス 一人の KISS LIKE CRAZYYOU KISS ME LIKE CRAZY LIKE THISいたらない部分は 指摘して果てしない夢なら 口にしてつまらない余談は 後にしてYOU LOVE ME LIKE CRAZY LIKE THISもっと やばいって いいんじゃないもっと やばいって TAKE ON ME人は皆 弱い程 意地になるちょっと誰かに 話してみれば 楽じゃん桜咲く季節に KISS LIKE CRAZY紫外線強くて KISS LIKE CRAZYクリスマス 一人の KISS LIKE CRAZYYOU KISS ME LIKE CRAZY LIKE THIS抱きしめる手段は 好きにして愛告げる言葉は KISS にして抱きしめる手段は 好きにして愛告げる言葉は KISS にして抱きしめる手段は 好きにして愛告げる言葉は KISS にして抱きしめる手段は 好きにして愛告げる言葉は KISS にして抱きしめる手段は 好きにして愛告げる言葉は KISS にして抱きしめる手段は 好きにして愛告げる言葉は KISS にして抱きしめる手段は 好きにして愛告げる言葉は KISS にして抱きしめる手段は 好きにして愛告げる言葉は KISS にして
僕らが生きる MY ASIA(ソロテイク Ver.),同じ夜空の星を見上げた遥か遠くに思い寄せまだ知らぬ友に会えそうだシルクロード進もう共に励まし　共に讃えて共に心を通わせ家族のように　生きていけるさ絆もきっと出来るさ万年行き交う この道にすべての希望が詰まってる万年誰かに伝えてく不思議な魅惑　MY ASIA僕らが生きる　MY ASIA恋に黄昏海を見渡すこんな近くに歴史もある同じような顔に見えても同じ人はいない夢を数えて　涙に変わり季節がまた流れてく家族の言葉　大人になってなんだか胸に轟く万年行き交う　この道がすべての笑顔の始まりで万年待ってた　この時を愛し合おうよ　MY ASIA僕らが生きる　MY ASIA万年行き交う　この道がすべての笑顔の始まりで万年待ってた　この時を愛し合おうよ　MY ASIA僕らが生きる　MY ASIA
I WISH(ソロテイク Ver.),ひとりぼっちで少し退屈な夜私だけが淋しいの?Ah Uhくだらなくて笑えるメール届いたなぜか涙止まらないAh ありがとう誰よりも私が私を知っているから誰よりも信じてあげなくちゃ!人生って　すばらしい　ほら　誰かと出会ったり　恋をしてみたりAh すばらしい　Ah 夢中で笑ったり　泣いたり出来る誰かと話しするの怖い日もあるでも勇気を持って話すわ私の事晴れの日があるからそのうち雨も降る全ていつか納得できるさ!人生って　すばらしい　ほら　いつもと同じ道だって　なんか見つけよう!Ah すばらしい　Ah 誰かとめぐり会う道となれ!晴れの日があるからそのうち雨も降る全ていつか納得できるさ!人生って　すばらしい　ほら　誰かと出会ったり　恋をしてみたりAh すばらしい　Ah 夢中で笑ったり　泣いたり出来る人生って　すばらしい　ほら　いつもと同じ道だって　なんか見つけよう!Ah すばらしい　Ah 誰かとめぐり会う道となれ!でも笑顔は大切にしたい愛する人の為に…
これ以上 嫌われたくないの,恋人には　戻れない友達にも　戻れないだからと言って　嫌いになれそうにもないわあの頃には　戻れない出会う前に　戻りたい違うバイト　してたら愛さずに済んだわ聞こえますか?神様心ん中の叫び声がどうしたら　あの人嫌いになれるでしょう聞こえますか?私の涙が流れる音がどうすれば　毎晩ゆっくり眠れるの?あなたには　見せないこんな悲しんでる顔をきっと心配をかけちゃうでしょこれ以上　私　嫌われたくない優しかった　あなたの声が耳を　離れないダイスキだった　あなたの匂いも消えないわ夢に見てた　将来信じていた　愛の誓い許しあった　お互い忘れられない聞こえますか?神様本当のこの気持ちがどうしたら　すべてがもとに戻るんでしょう聞こえますか?私の本当のため息がどうすれば　笑顔を取り戻せるのでしょうウソでもいい　わざとに誰か男性(おとこ)と腕組んであなたに見せてみようかしら助けて　誰か　嫌われたくない聞こえますか?神様心ん中の叫び声がどうしたら　あの人嫌いになれるでしょう聞こえますか?私の涙が流れる音がどうすれば　毎晩ゆっくり眠れるの?あなたには　見せないこんな悲しんでる顔をきっと心配をかけちゃうでしょこれ以上　私　嫌われたくない
Danceでバコーン!,ファンキー男子旅立つ時間だファンキー姉ちゃんトキメク時間だ諦めやしない私の未来誰のものでもないもちろん玉の輿そりゃ乗りたい毎日が勝負パンツジャッジャッジャージャージャジャッジャッジャージャッジャッジャージャージャジャッジャッジャーAH　やだーまた　ちょっと太ったもう　やだー手柄取り上げないで～ダンスでバコーンなんか全部忘れたい!ダンスでバコーン涙が止まらないよ!こんなにすごく切ないのどうしてかわかんない今まで溜めたストレスと今夜でおさらばさ!ファンキー幹事宴も酣(たけなわ)だファンキー委員長始業の号令だ輝くしかないうちらの時代誰にも任せないもちろんバカじゃいかん時代を読んでレバレッジきかせてこうジャッジャッジャージャージャジャッジャッジャージャッジャッジャージャージャジャッジャッジャーAH　やだーまた　上司怒ってるもう　やだー人のせいにしないでダンスでバコーン今日は全部忘れるよ!ダンスでバコーン慰めはいらないわ!心がずいぶん軽くなるお腹が減って来たわ帰りにうどん食べてくわ明日が待ってるもん!ダンスでバコーン今日は全部忘れるよ!ダンスでバコーン慰めはいらないわ!心がずいぶん軽くなるお腹が減って来たわ帰りにうどん食べてくわ明日が待ってるもん!
クレオパトラの涙,甘い声で鳴く子猫のよう甘える君は絶世のクイーンなぜなの?君は時に冷たく愛をはぐらかすよね神秘のやわ肌　魅惑の髪すべてが愛しくてたまらないよなぜなの?君はわざと激しく心を揺さぶるよね宇宙(そら)に輝く星たち数えるフリして窓の外を眺めるまるでクレオパトラ光れ輝け Faraway永遠の愛よ誇り高い想いは愛のピラミッド届け轟け Faraway永遠を誓おうたとえば　この体が粉々になっても愛は乾かない砂漠の闇を抜けろクレオパトラとても悲しげな顔で眠る君の頬に口づけたけど不思議さ　まるで悟ったように愛をもてあそぶよね本当の心はどこにあるの今君は何を見ているかな不思議さ　ほとんど知らないのに全部を愛しているもうすぐ朝になるけど外はまだ暗くて二人きりの世界よ覚めないでおくれ光れ輝け Faraway未来は眩しいやがて空にきらめく星座となるだろう届け轟け Faraway明日が来るけどたとえば　この地球が高熱になっても愛がある限り君は心配いらないクレオパトラ光れ輝け Faraway君らしく光れ!人がこんなに誰かを愛せるとは　知らなかったろすべては真実さ光れ輝け Faraway永遠の愛よ誇り高い想いは愛のピラミッド届け轟け Faraway永遠を誓おうたとえば　この体が粉々になっても愛は乾かない砂漠の闇を抜けろクレオパトラ
ダイスッキ！,恋の花咲け素敵な恋よ　羽ばたいて毎日見る　あの人と仲良くしたいな裏道のカフェ半年続いてるバイトランチに来る　気になる人いまどきのオシャレな店とか知ってそうドライブとかおねだりしよかなダイスッキ！陽の光浴びて　心を流す晴れやかなこの気分受け取ってねダイスッキ！昨日も交わした　少しの会話ただそれだけなのに幸せだもん後少し近づきたい恋の抜け道未来の恋よ　未然形毎日来る　このドキドキがたまらないわ今日は遅いないつもの場所に他の人座っちゃった　心配だわもしかして彼女が出来たとか　それともすでに彼女が居たとか　そのパターン？ダイスッキ！さわやかな風よ　私を乗せて初めての感動へ連れてってねダイスッキ！今日もし来たなら　いっぱい話そうどこかに連れてって！って叫びたいなけど今日は来ないのかなダイスッキ！さわやかな風よ　私を乗せて初めての感動へ連れてってねダイスッキ！今日もし来たなら　いっぱい話そうどこかに連れてって！って叫びたいな手を振って来てくれたわ
スマイル美人,笑顔の仕方　忘れたどうしてこんな辛い学校になんて行けないあいつの顔　見れない砕け散る初恋砕け散る初恋デートしてるの　見ちゃったの砕け散る初恋楽しそうに歩いてた好きにさせた後にスマイル　美人に当分戻れそうにない友達みんな優しいのが反って胸に響くあの子は誰だろう確認する勇気も出ない毎日話しするだけで幸せだったな笑顔よ　Bye　Bye　Bye何気ない顔であいつ話しかけてきたわ思わず　何も話さずその場を離れたの砕け散る初恋砕け散る初恋私は全部　知ってるよ砕け散る初恋きっとあの子が本命の彼女さんなんでしょう?スマイル　美人に私をもう一度　戻して奪い取るような自信など今の私にはないもん恋する　感覚これがそうだと知ったのに毎日眺めてるだけで幸せだったな笑顔よ　Bye　Bye　Byeスマイル　美人に当分戻れそうにない友達みんな優しいのが反って胸に響くあの子は誰だろう確認する勇気も出ない毎日話しするだけで幸せだったな笑顔よ　Bye　Bye　Bye
○○ がんばらなくてもいいんだよ!!,○○ がんばらなくてもいいんだよ○○ がんばりすぎたら疲れます○○ がんばらなくてもいいんだよ深呼吸して　YEAH YEAH YEAH YEAH自分だけ最悪じゃないんだよ後悔ばっかしてても進まない努力は皆　認めてますよ今のまんまで　LET'S GO!たった100年前だけどすごく景色が超変わったねこんな時代が来るなんて想像なんて龍馬にも出来ない　ナイ…HAPPY NIGHT!がんばりすぎずに超リラックスがんばりすぎずに超フレックス愛情に飢えてる私たちゆっくりその手で抱き抱き抱き抱き抱きしめてがんばりすぎたら即リフレッシュがんばりすぎたら即旅行行こう老後がわからん時代でもみんな素敵なスマイル　スマイル　スマイル　スマイル　スマイルで行きましょう!○○ がんばらなくてもいいんだよ○○ がんばりすぎたらモテないよ○○ がんばらなくてもいいんだよひと休みして　YEAH YEAH YEAH YEAH隣の芝生は青くないそんなに卑下せんでいいんだよ十分まんまでいけてます自分のペースで　LET'S GO!世界最長の寿命だし楽しく生きにゃ超つまんないこんな時代であるならばのんびり行きましょ　WOW WOW…PEACE!がんばりすぎずにね　お父さんがんばりすぎずにね　お母さんぬくもり不足の私たちゆっくりその手で抱き抱き抱き抱き抱きしめてがんばりすぎちゃったね　お兄さんがんばりすぎちゃったね　お姉さん美味しいもんでも食べましょう!日本を素敵なスマイル　スマイル　スマイル　スマイル　スマイルで飾ろうよ!がんばりすぎずにね　お父さんがんばりすぎずにね　お母さんぬくもり不足の私たちゆっくりその手で抱き抱き抱き抱き抱きしめてがんばりすぎちゃったね　お兄さんがんばりすぎちゃったね　お姉さん美味しいもんでも食べましょう!日本を素敵なスマイル　スマイル　スマイル　スマイル　スマイルで飾ろうよ!
○○ がんばらなくてもええねんで!!,○○ がんばらなくてもええねんで○○ がんばりすぎたら疲れんで○○ がんばらなくてもええねんで深呼吸して　YEAH YEAH YEAH YEAH自分だけ最悪じゃないねんで後悔ばっかしてても進まんで努力は皆　認めてまんで今のまんまで　LET'S GO!たった100年前だけどすごく景色が超変わったねこんな時代が来るなんて想像なんて龍馬にも出来ない　ナイ…HAPPY NIGHT!がんばりすぎずに超リラックスがんばりすぎずに超フレックス愛情に飢えてる私たちゆっくりその手で抱き抱き抱き抱き抱きしめてがんばりすぎたら即リフレッシュがんばりすぎたら即旅行行こう老後がわからん時代でもみんな素敵なスマイル　スマイル　スマイル　スマイル　スマイルで行きましょう!○○ がんばらなくてもええんやで○○ がんばりすぎたらモテへんで○○ がんばらなくてもええんやでひと休みして　YEAH YEAH YEAH YEAH隣の芝生は青ないでそんなに卑下せんでええんやで十分まんまでいけてんで自分のペースで　LET'S GO!世界最長の寿命だし楽しく生きにゃ超つまんないこんな時代であるならばのんびり行きましょ　WOW WOW…PEACE!がんばりすぎずにね　お父さんがんばりすぎずにね　お母さんぬくもり不足の私たちゆっくりその手で抱き抱き抱き抱き抱きしめてがんばりすぎちゃったね　お兄さんがんばりすぎちゃったね　お姉さん美味しいもんでも食べましょう!日本を素敵なスマイル　スマイル　スマイル　スマイル　スマイルで飾ろうよ!がんばりすぎずにね　お父さんがんばりすぎずにね　お母さんぬくもり不足の私たちゆっくりその手で抱き抱き抱き抱き抱きしめてがんばりすぎちゃったね　お兄さんがんばりすぎちゃったね　お姉さん美味しいもんでも食べましょう!日本を素敵なスマイル　スマイル　スマイル　スマイル　スマイルで飾ろうよ!
一人ぼっちの私,あの頃のように甘えたいだけあぁあ　寂しいこんな日は早く大きくなりたいなんていつも思ってた　あの頃ため息の日々が続く忘れられなくて「大切な思い出」なんてそんな風に割り切れない初めて手に触れた公園初めて許した出来ごとにこんな風に終わりが来る…起き上がれないほど苦しんでいるの　私あの頃はまだ日に焼けた顔少し　自慢したりしてた早く大人に近づくのかなつらい涙が続くほど沢山の写真の笑顔何度も見直すいつから二人の間がこんな距離になったんだろう…もう一度だけ許されるなら疑ったりなんてしないわケンカなんてしたこと無いそれだけが二人の唯一の自慢だったのにずっと先まで二人でいると私　思い込んでた AHもう一度だけ許されるなら疑ったりなんてしないわケンカなんてしたこと無いそれだけが二人の唯一の自慢だったのに
MOON POWER,すれ違う度　眩しい大好き過ぎて　眩しいAH胸が苦しい女の子から　告白勇気が出ない　告白AHどうすればいい立ち止まる　なんてこと出来ないのが青春結果恐れていちゃ進まない当たって砕けて良いじゃない！月明かり　パワーをください燃えるような　恋をください乙女の戯言を笑わず受け止めてください月明かり　今日はきれいね君も見てたりするのかなもしも　見てるのならロマンチックな事思うかな叶わないよな　恋なのあきらめるべき　恋なのAH息が出来ない電話を見ては　ため息写真を見ては　ため息AH悲しい事実雑誌には　いろいろな恋が載ってるわどれにも当てはまらないみたいこの恋の謎を解いてよ！月明かり　パワーをください神のきまぐれでもいいの乙女の真剣をしっかり抱きしめてください月明かり　今誓います明日こそやってみせるから愛をこの手にしたいロマンチックな君をください月明かり　パワーをください神のきまぐれでもいいの乙女の真剣をしっかり抱きしめてください月明かり　今誓います明日こそやってみせるから愛をこの手にしたいロマンチックな君をください
雄叫びボーイ WAO! (スパーク Ver.),(Oh WAO WAO　Oh WAO WAOOh WAO WAO　Oh Yeah 雄叫び)×2闘う彼奴らの雄叫びOh WAO WAO　Oh WAO WAO悩める彼奴らの落ち込みOh WAO WAO　Oh Yeah思い通り行かない事ばかりそう言うもんだよみんなガマンだよおいらだけ不幸じゃない運をこっちに引き寄せろ誰もやっちゃくれないぜ自分でやんなきゃ!スパークボーイ!愛をあるだけ　持ち寄ってスパークボーイ!すごいパワーを生み出そうぜこの地球の　ど真ん中で光輝け!イナズマのよに!これからドンガラガッシャン　神秘な未来がやってくる(Oh WAO WAO　Oh WAO WAOOh WAO WAO　Oh Yeah 雄叫び)×2夢見る彼奴らのたくらみOh WAO WAO　Oh WAO WAO暇する彼奴らの苛立ちOh WAO WAO　Oh Yeah旅行の前になぜだか熱が出るそう言うもんだよ人生なんだよ君だけが不幸じゃない運はみんなに平等さコツコツと積み上げなよチャンスを待て!スパークボーイ!愛の分だけ　気持ち良いスパークボーイ!すごいスターが生まれそうこの世界の　どんな場所でも光輝け!イナズマのよに!明日にはドンガラガッシャン　勝利の女神が待っているスパークボーイ!愛の分だけ　気持ち良いスパークボーイ!すごいスターが生まれそうこの世界の　どんな場所でも光輝け!イナズマのよに!明日にはドンガラガッシャン　勝利の女神が待っている(Oh WAO WAO　Oh WAO WAOOh WAO WAO　Oh Yeah 雄叫び)×2
本気ボンバー!,夏じゃん!見上げる空　青い海WOW WOWOW自由に描こう僕がルールOH YEAH!夏JUMP!大きくなれ　本気(マジ)ボンバー!WOW WOWOW好奇心のままGO!熱くなれ!遊びも100点(ひゃく)遊びも100点(ひゃく)学びも100点(ひゃく)学びも100点(ひゃく)時間精一杯手を抜かないボンバーくじ運のせいにゃ絶対しねぇそもそも　人生　チョイスの連続夏じゃん!頼れる奴　キザなヤツWOW WOWOWいろいろ出会い僕が育つOH YEAH!夏JUMP!成長しろ　本気(マジ)ボンバー!WOW WOWOW世界みんなでPeace!立ち上がれ!涙も出る涙も出る拍手もする拍手もするほめてほめられやる気も出るボンバーカブトムシだって夢があるだろういつかは　大空の彼方 HOP STEP JUMP!夏じゃん!見上げる空　青い海WOW WOWOW自由に描こう僕がルールOH YEAH!夏JUMP!大きくなれ　本気(マジ)ボンバー!WOW WOWOW好奇心のままGO!熱くなれ!夏じゃん!頼れる奴　キザなヤツWOW WOWOWいろいろ出会い僕が育つOH YEAH!夏JUMP!成長しろ　本気(マジ)ボンバー!WOW WOWOW世界みんなでPeace!立ち上がれ!夏じゃん!見上げる空　青い海WOW WOWOW自由に描こう僕がルールOH YEAH!夏JUMP!大きくなれ　本気(マジ)ボンバー!WOW WOWOW好奇心のままGO!熱くなれ!
友(とも),素直に伝えよう楽しくやろう君はその手を絶対に離さないで心を大きく許し許され誰に出会っても仲間になろう遠く離れた僕たちにだって心配いらない出来ることがある愛しているんだずっと仲間だろやがて年老いて白髪になったとしても優しくいれるさずっと仲間だろ時に厳しく叱ってくれるだろうHELLO HELLOさあ　始めよう!HELLO HELLOさあ　始めよう!笑顔で伝えよう優しく行こう僕はいつでも変わらずにここにいるよミスなんて誰でもするもんだからここから一気に取り戻そう初恋のように胸が苦しくてだけど逃げない生きてる証拠さわかりあえるはずずっと仲間だし最初から全部うまくいかなくたって自分を信じて運命感じて時の流れに飲み込まれないようにHELLO HELLOさあ　始めよう!HELLO HELLOさあ　始めよう!愛しているんだずっと仲間だろやがて年老いて白髪になったとしても優しくいれるさずっと仲間だろ時に厳しく叱ってくれるだろうわかりあえるはずずっと仲間だし最初から全部うまくいかなくたって自分を信じて運命感じて時の流れに飲み込まれないようにHELLO HELLOさあ　始めよう!HELLO HELLOさあ　始めよう!NANANA…
青春コレクション,最新の洋服に着替えたこんな日はなんだか街に出て歩きたい風吹いて 前髪乱れてもそれでもまあいいよね私に変わりはない寂しい夜に繋がる秘密の場所がある WOO YEAHそう 私たちの絆輝け!夢があるから胸張って!生きていけるんでしょ大人に 成らなきゃねわがまましちゃって反省輝け!今日の私よ胸張って!未来の私も後悔しないように 信じて歩こう MY STAGEOH YEAH青春コレクション最近ね ひらめきが冴えてる新しい友情に出会えたりもしたしいつも行く あの店のあいつは確かにかっこいいよね話しかけちゃおうかなどっちも譲りあわずにケンカになったわ WOO YEAHどうやって謝ろうかな…輝け!愛があるからそうやって 許しあえるんでしょネガティブ 言ってても良いことなんてないし輝け!今日の地球も胸張って!手を取り合おうよ家族の言葉を 信じて歩こう MY STAGEOH YEAH青春コレクション輝け!愛があるからそうやって 許しあえるんでしょネガティブ 言ってても良いことなんてないし輝け!今日の地球も胸張って!手を取り合おうよ家族の言葉を 信じて歩こう MY STAGEOH YEAH青春コレクション
やべーなべーな 圧力ベーナー,b b b bbb　ベナベナb b b bbb　ベナベナb b b bbb　ベナベナb b b b b(圧力べーばー!!)　ヤッホー!あんなにお固いあの子もあの方も (あの方も)奴にかかれば誰もがお手上げなのさ (のさ)シュッ　シュッ　シュッ　短気な性格イカしてる (イカ)圧力鍋　台どこのヒーロー (シュワッチ!)図体でっかいからね　しまう場所でこまる母性本能くすぐるね　(ジュクジュク)だけど頼りになる　そして上手にやっちゃうグルメのマジック　グルジック　ナベナベ (ナベナベ)やべ～な　べ～な　べ～な　べ～な圧力べーな　べーな　べー　(べー)お料理上手になったね　ってほめられちゃってちょうだぁ～い　(ちょうだぁ～い)ヤベー鍋　鍋　鍋な圧力べー鍋　鍋　(べー)あんたにほれたぜ圧力鍋よ土手焼き煮込もうどんなに頑固なあいつもうなづくぜ (うなづくぜ)奴にかかれば結局美味くなるのさ (のさ)シュッ　シュッ　シュッ　汽笛をあげたら仕上がりさ (がり)圧力鍋　開ける時注意 (気をつけて!)圧がかかる場所の　ゴムが傷みやすい予備をストック　しなきゃだね　(予備予備)だけど家族みんな　みんな笑顔にしちゃうグルメのマジック　グルジック　ナベナベ (ナベナベ)やべ～な　べ～な　べ～な　べ～な圧力べーな　べーな　べー　(べー)時間が短縮出来れば　そうもう一品作ってちょうだぁ～い　(ちょうだぁ～い)ヤベー鍋　鍋　鍋な圧力べー鍋　鍋　(べー)あんたにゃ敵わない圧力鍋よ玄米も早く上手に炊ける
夢見る 15歳,女の子には　秘密の恋のボタンがあるのよ今年の夏は　負けない去年みたいに　弱くないAH　That's Summer Love胸が騒ぐわThat's Summer Love実際　恋するだけなら　誰でも出来る勇気を持って輝こう実際　恋愛するのってタイミング見逃せない夏祭り手を繋ぎ花火を見上げてきれいだと私見て　君が言う浴衣着て金魚すくい君が3匹で…なんて恋夢見てる　15歳(フィフティーン)女の子だけ　感じちゃうすごいご褒美があるらしい今年の夏は　唇乾かないように　しなきゃねAH　That's Summer Love待ちきれないわThat's Summer Love実際　ライバルだらけで気が抜けないなどの子もこの子も気負ってる実際　女に生まれてよかった楽しいもん海に行き水着着て君に抱っこされ波が来るその度にジャンプしてバーベキュー流れ星全部イチャイチャで…そんな恋夢見てる　15歳ひとりきりイヤフォンで音楽聴いている意味もなく涙とか　出てきちゃうWow Ohさみしいよさみしいよなぜか　さみしいよすごい恋夢見てる　15歳Summer Love!
